,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'All-Purpose Bike Stand'}),frozenset({'Mountain Tire Tube'}),0.00866765725606736,0.13719663199603765,0.0024764735017335313,0.2857142857142857,2.082516761217122,0.001287300118905072,1.2079247152055472,0.5243567324506618
1,frozenset({'Mountain Tire Tube'}),frozenset({'All-Purpose Bike Stand'}),0.13719663199603765,0.00866765725606736,0.0024764735017335313,0.018050541516245484,2.082516761217122,0.001287300118905072,1.009555363750255,0.6024684270952926
2,frozenset({'All-Purpose Bike Stand'}),frozenset({'Mountain-200'}),0.00866765725606736,0.11367013372956909,0.0012382367508667657,0.14285714285714285,1.2567693744164332,0.0002529829914475188,1.034051510648836,0.20609542842867834
3,frozenset({'Mountain-200'}),frozenset({'All-Purpose Bike Stand'}),0.11367013372956909,0.00866765725606736,0.0012382367508667657,0.010893246187363833,1.256769374416433,0.0002529829914475188,1.0022500998226105,0.23051131601005853
4,frozenset({'All-Purpose Bike Stand'}),frozenset({'Patch kit'}),0.00866765725606736,0.14239722634967805,0.0047052996532937095,0.5428571428571428,3.812273291925466,0.003471049301080056,1.8760060673600791,0.7441392639730728
5,frozenset({'Patch kit'}),frozenset({'All-Purpose Bike Stand'}),0.14239722634967805,0.00866765725606736,0.0047052996532937095,0.03304347826086956,3.8122732919254654,0.003471049301080056,1.0252088076938153,0.8601759958660729
6,frozenset({'All-Purpose Bike Stand'}),frozenset({'Road Tire Tube'}),0.00866765725606736,0.10946012877662209,0.0024764735017335313,0.2857142857142857,2.610213316095669,0.0015277106222927753,1.2467558197127289,0.6222832875343491
7,frozenset({'Road Tire Tube'}),frozenset({'All-Purpose Bike Stand'}),0.10946012877662209,0.00866765725606736,0.0024764735017335313,0.02262443438914027,2.6102133160956686,0.0015277106222927753,1.0142798506778201,0.692714126807564
8,frozenset({'Bike Wash'}),frozenset({'Fender Set - Mountain'}),0.044328875681030215,0.0950965824665676,0.004952947003467063,0.11173184357541899,1.1749301675977653,0.0007374224216157499,1.0187277467829208,0.1557916558693962
9,frozenset({'Fender Set - Mountain'}),frozenset({'Bike Wash'}),0.0950965824665676,0.044328875681030215,0.004952947003467063,0.052083333333333336,1.1749301675977653,0.0007374224216157499,1.0081805267540782,0.16453201970443349
10,frozenset({'Bike Wash'}),frozenset({'HL Mountain Tire'}),0.044328875681030215,0.0633977216443784,0.003714710252600297,0.08379888268156424,1.321796438547486,0.0009043605313660882,1.022267120888148,0.2547464800898332
11,frozenset({'HL Mountain Tire'}),frozenset({'Bike Wash'}),0.0633977216443784,0.044328875681030215,0.003714710252600297,0.05859375,1.321796438547486,0.0009043605313660882,1.0151527295670384,0.25993301604089536
12,frozenset({'Bike Wash'}),frozenset({'Hydration Pack'}),0.044328875681030215,0.03442298167409609,0.005200594353640416,0.11731843575418993,3.4081427595353877,0.003674662278439029,1.093913204305929,0.7393600612050988
13,frozenset({'Hydration Pack'}),frozenset({'Bike Wash'}),0.03442298167409609,0.044328875681030215,0.005200594353640416,0.15107913669064746,3.4081427595353877,0.003674662278439029,1.1257481888164136,0.7317749361863237
14,frozenset({'Bike Wash'}),frozenset({'LL Mountain Tire'}),0.044328875681030215,0.03813769192669639,0.0024764735017335313,0.055865921787709494,1.46484800116085,0.0007858724975535775,1.0187772375450967,0.33205493651204965
15,frozenset({'LL Mountain Tire'}),frozenset({'Bike Wash'}),0.03813769192669639,0.044328875681030215,0.0024764735017335313,0.06493506493506493,1.46484800116085,0.0007858724975535775,1.0220371746188983,0.3299176107106075
16,frozenset({'Bike Wash'}),frozenset({'LL Road Tire'}),0.044328875681030215,0.04730064388311045,0.0024764735017335313,0.055865921787709494,1.1810816344438269,0.0003796891394064459,1.009072099082386,0.16043016325472914
17,frozenset({'LL Road Tire'}),frozenset({'Bike Wash'}),0.04730064388311045,0.044328875681030215,0.0024764735017335313,0.05235602094240838,1.1810816344438269,0.0003796891394064459,1.0084706339498521,0.16093059526904077
18,frozenset({'ML Mountain Tire'}),frozenset({'Bike Wash'}),0.052253590886577515,0.044328875681030215,0.0027241208519068845,0.052132701421800945,1.1760438454817441,0.00040777791760837623,1.008233036156513,0.15794474665653116
19,frozenset({'Bike Wash'}),frozenset({'ML Mountain Tire'}),0.044328875681030215,0.052253590886577515,0.0027241208519068845,0.06145251396648044,1.1760438454817441,0.00040777791760837623,1.0098012335196584,0.1566350208485475
20,frozenset({'Bike Wash'}),frozenset({'Mountain Bottle Cage'}),0.044328875681030215,0.09757305596830114,0.004210004952947003,0.09497206703910614,0.9733431642231234,-0.00011529891489002117,0.9971260677881116,-0.027858868159388386
21,frozenset({'Mountain Bottle Cage'}),frozenset({'Bike Wash'}),0.09757305596830114,0.044328875681030215,0.004210004952947003,0.04314720812182741,0.9733431642231233,-0.00011529891489002117,0.9987650476967482,-0.02945415804975882
22,frozenset({'Bike Wash'}),frozenset({'Mountain Tire Tube'}),0.044328875681030215,0.13719663199603765,0.00866765725606736,0.19553072625698323,1.4251860516709354,0.0025858848124589552,1.07251251994937,0.3121756191463369
23,frozenset({'Mountain Tire Tube'}),frozenset({'Bike Wash'}),0.13719663199603765,0.044328875681030215,0.00866765725606736,0.0631768953068592,1.4251860516709354,0.0025858848124589552,1.0201190806795941,0.34577661144825317
24,frozenset({'Bike Wash'}),frozenset({'Mountain-200'}),0.044328875681030215,0.11367013372956909,0.004210004952947003,0.09497206703910614,0.8355058969584109,-0.0008288642737971441,0.9793397905086859,-0.17082079931241942
25,frozenset({'Mountain-200'}),frozenset({'Bike Wash'}),0.11367013372956909,0.044328875681030215,0.004210004952947003,0.037037037037037035,0.8355058969584108,-0.0008288642737971441,0.9924277060235456,-0.18175582990397804
26,frozenset({'Patch kit'}),frozenset({'Bike Wash'}),0.14239722634967805,0.044328875681030215,0.013620604259534423,0.09565217391304348,2.157784794753461,0.0073082953153560245,1.0567517240065532,0.6256530071141678
27,frozenset({'Bike Wash'}),frozenset({'Patch kit'}),0.044328875681030215,0.14239722634967805,0.013620604259534423,0.30726256983240224,2.1577847947534616,0.0073082953153560245,1.2379911006726423,0.5614502108412448
28,frozenset({'Road Bottle Cage'}),frozenset({'Bike Wash'}),0.07974244675581971,0.044328875681030215,0.005200594353640416,0.06521739130434782,1.4712169055137234,0.001665701344900513,1.022345853922619,0.34804449228561174
29,frozenset({'Bike Wash'}),frozenset({'Road Bottle Cage'}),0.044328875681030215,0.07974244675581971,0.005200594353640416,0.11731843575418993,1.4712169055137236,0.001665701344900513,1.042570266017141,0.3351472747689384
30,frozenset({'Road Tire Tube'}),frozenset({'Bike Wash'}),0.10946012877662209,0.044328875681030215,0.0047052996532937095,0.042986425339366516,0.9697161202254859,-0.00014694478727472933,0.9985972504704129,-0.033880090497737714
31,frozenset({'Bike Wash'}),frozenset({'Road Tire Tube'}),0.044328875681030215,0.10946012877662209,0.0047052996532937095,0.10614525139664803,0.9697161202254858,-0.00014694478727472933,0.9962914809311539,-0.03164414860599352
32,frozenset({'Road-250'}),frozenset({'Bike Wash'}),0.028727092620108963,0.044328875681030215,0.003714710252600297,0.12931034482758622,2.9170680023116935,0.002441270535166046,1.0976024794158465,0.6766275709671936
33,frozenset({'Bike Wash'}),frozenset({'Road-250'}),0.044328875681030215,0.028727092620108963,0.003714710252600297,0.08379888268156424,2.9170680023116935,0.002441270535166046,1.0601088440304909,0.6876738360542454
34,frozenset({'Bike Wash'}),frozenset({'Road-750'}),0.044328875681030215,0.06092124814264487,0.0024764735017335313,0.055865921787709494,0.9170186673933778,-0.0002240969335149663,0.9946455419080863,-0.08649749076791984
35,frozenset({'Road-750'}),frozenset({'Bike Wash'}),0.06092124814264487,0.044328875681030215,0.0024764735017335313,0.04065040650406504,0.9170186673933778,-0.0002240969335149663,0.9961656634850279,-0.08789147063068278
36,frozenset({'Bike Wash'}),frozenset({'Touring Tire'}),0.044328875681030215,0.04259534422981674,0.0024764735017335313,0.055865921787709494,1.311549954527738,0.0005882697827792973,1.0140558188335078,0.2485618035760559
37,frozenset({'Touring Tire'}),frozenset({'Bike Wash'}),0.04259534422981674,0.044328875681030215,0.0024764735017335313,0.05813953488372092,1.3115499545277378,0.0005882697827792973,1.0146631690300174,0.24811174340403508
38,frozenset({'Touring Tire Tube'}),frozenset({'Bike Wash'}),0.06240713224368499,0.044328875681030215,0.0029717682020802376,0.047619047619047616,1.074221867517957,0.00020533019524031316,1.0034546805349185,0.0736925515055466
39,frozenset({'Bike Wash'}),frozenset({'Touring Tire Tube'}),0.044328875681030215,0.06240713224368499,0.0029717682020802376,0.0670391061452514,1.074221867517957,0.00020533019524031316,1.0049648103495832,0.07229852293340228
40,frozenset({'Bike Wash'}),frozenset({'Touring-1000'}),0.044328875681030215,0.06587419514611194,0.0027241208519068845,0.06145251396648044,0.9328768849498045,-0.00019600815531303556,0.995288803981226,-0.07001862197392932
41,frozenset({'Touring-1000'}),frozenset({'Bike Wash'}),0.06587419514611194,0.044328875681030215,0.0027241208519068845,0.041353383458646614,0.9328768849498046,-0.00019600815531303556,0.9968961532111607,-0.07151808091657723
42,frozenset({'Bike Wash'}),frozenset({'Water Bottle'}),0.044328875681030215,0.2003467062902427,0.011144130757800892,0.25139664804469275,1.254807991105648,0.0022629865215568496,1.0681935789107952,0.21248452391235498
43,frozenset({'Water Bottle'}),frozenset({'Bike Wash'}),0.2003467062902427,0.044328875681030215,0.011144130757800892,0.055624227441285534,1.254807991105648,0.0022629865215568496,1.011960653892731,0.25394170881937994
44,frozenset({'Fender Set - Mountain'}),frozenset({'Classic Vest'}),0.0950965824665676,0.027984150569588907,0.008172362555720654,0.08593750000000001,3.070934734513275,0.005511165473322898,1.0634019549324156,0.7452356073045728
45,frozenset({'Classic Vest'}),frozenset({'Fender Set - Mountain'}),0.027984150569588907,0.0950965824665676,0.008172362555720654,0.2920353982300885,3.0709347345132745,0.005511165473322898,1.2781760772659734,0.6937811233352635
46,frozenset({'HL Mountain Tire'}),frozenset({'Classic Vest'}),0.0633977216443784,0.027984150569588907,0.0024764735017335313,0.0390625,1.395879424778761,0.0007023421134683605,1.0115286888381514,0.30280274986779476
47,frozenset({'Classic Vest'}),frozenset({'HL Mountain Tire'}),0.027984150569588907,0.0633977216443784,0.0024764735017335313,0.08849557522123892,1.395879424778761,0.0007023421134683605,1.027534538390148,0.29177070063694266
48,frozenset({'HL Road Tire'}),frozenset({'Classic Vest'}),0.03813769192669639,0.027984150569588907,0.001981178801386825,0.05194805194805194,1.8563383519135728,0.0009139278881335582,1.0252769918649542,0.4795957775489186
